Date,Blackquote,Caption,Like Count,Comment Count,Share Count
"Tuesday, September 12, 2023 at 1:53 PM",0,"This time for the year 79/80, we take immense pride in receiving recognition from the Nepal Government, Ministry of Finance,Inland Revenue Department for our significant contribution to taxation. We extend our heartfelt gratitude to the Nepal government for this acknowledgement of WorldLink Communications' commitment to tax compliance and fiscal responsibility.
#taxpayer #WorldLink #NepalGovernment #FiscalResponsibility #NepalTax #WorldLinkRecognition #TaxExcellence #gratefulforacknowledgment",173,8,12
0,0,0,0,WorldLink Communications · Original audio,0
"Friday, September 8, 2023 at 7:51 PM","From our heart to your family, we have achieved remarkable achievement by reaching 1 million active customers. Not just a number of 1 million: it is a great achievement for us and respected customers, staff working at different locations and our helpful well wishers are the factor of this achievement. We are continuously working together to make the future of digital Nepal a golden one with the vision of ""connecting everyone wherever."" We are grateful to our customers for being a companion on our journey.
From our hearts to your homes, we've achieved this remarkable milestone of 8 lakh active customers. It's not just a number; it's an achievement for us, and this is only because of our loyal customers, the dedicated internal staff of different locations, and our supportive well-wishers. Together, we're working towards our vision of ""Connecting Everyone, Anywhere, All the Time"" and creating a brighter digital future for Nepal. We are very thankful to our customers for being part of our journey!
#WorldLinkJourney #WorldLinkMilestone #ChitoBhanekaiWorldLink #WorldLink #WorldlinkFamily #Connecting800000households #WLINK #internet
  · See original
  · Rate this translation",0,2.8K,358,322
"Friday, September 8, 2023 at 10:15 AM",0,"WorldLink is pleased to announce its collaboration with the Nepal Youth Entrepreneurship Summit 2023, set to take place on September 14th. Let's hear from Mr. Manoj Agrawal, WorldLink Director, as he discusses how WorldLink has been working to close the digital divide and give young people more power by putting them in touch with the online community.
#WorldLink #NYES2023 #YouthSummitInnovation2023 #NepalStartupSummit #YouthEmpowermentEvent #Youthentrepreneurship #NepalBusiness #NBI",190,7,7
"Thursday, September 7, 2023 at 3:58 PM",0,"55th Historical Radhakrishna Rathyatra Live Straight from Biratnagar , ५५ औ ऐतिहासिक रथयात्राको विराटनगर बाट प्रत्यक्ष प्रसारण",356,6,0
"Thursday, September 7, 2023 at 1:35 PM",0,"Celebrating a special relationship with a customer who has been an integral part of the WorldLink family for more than 12 years. Our dedicated branch teams from New Baneshwor, Pepsicola, Battisputali, Boudha and Koteshwor had the privilege to personally visit this cherished customer, we offered our significant appreciation for their continuous support for choosing WorldLink as their internet service provider.
१२ वर्षभन्दा बढी समयदेखि WorldLink परिवारमा आबद्ध भएको ग्राहकहरू सँग विशेष सम्बन्ध मनाउँदै। नयाँ बानेश्वर, पेप्सीकोला, बत्तीसपुतली, बौद्ध र कोटेश्वरका हाम्रा समर्पित शाखा प्रतिनिधिहरूले ग्राहकलाई व्यक्तिगत रूपमा भेट्ने र कृतज्ञता देखाउने अवसर पाएको थियौ , हाम्रो ग्राहकहरू बाट इन्टरनेट सेवा प्रदायकको रूपमा WorldLink लाई छनौट गरिदिनु भएकोमा हामी उहाँहरूलाई धेरै धन्यवाद चाहन्छौँ |
#WorldLink #INTERNET #ChitoBhanekaiWorldLink  #customercare  #loyaltyprogram #NewBaneshwor #pepsicola #Koteshwor #boudha #DecadeStrong #customerappreciationday",465,11,9
"Wednesday, September 6, 2023 at 7:01 AM",0,"Celebrating the birth of Lord Krishna, the embodiment of love and wisdom, on this auspicious Krishna Janmashtami.
#krishnajanmashtami  #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications",172,12,15
"Tuesday, September 5, 2023 at 6:00 PM",0,"Congratulations to our brilliant winners who nailed it with the right answers! 
 A big thank you to all our amazing participants. 
Message us to claim your prize. 
 #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications #cricket",177,19,1
"Monday, September 4, 2023 at 11:46 PM",0,"Learning and gaining first-hand experience is the ultimate victory! Team Nepal 
 is off to a promising beginning, and our hearts swell with pride for their remarkable game on this Asia Cup 2023. Best wishes to Team Nepal for the future.
#TeamNepal #ExperientialGrowth #CAN #WorldLink #WeCan",410,13,9
"Sunday, September 3, 2023 at 6:00 PM",0,"It's more than just a match! Team Nepal has a fantastic opportunity to seize victory. Let's rally behind our team and wish them the best of luck as they set their sights on glory. So, Who will take the wicket of Virat Kohli in tomorrow#TeamNepal  #NepalvsIndia #Asiacup2023 #TeamNepal #WorldLink #ChitoBhanekaiWorldLink #WorldLinkCommunications",1K,369,33
"Sunday, September 3, 2023 at 10:09 AM",0,"Join us for the excitement as two football giants clash on the pitch. Are you ready for this epic match-up?  Which team are you supporting?
#PremierLeague #WorldLink #ChitoBhanekaiWorldLink #WorldLinkCommunications",47,24,0
"Thursday, August 31, 2023 at 10:00 AM",0,"Celebrating traditions, stories, and the connections that make us who we are. Spirit of Laughter and Remembrance at the Joyful Gai Jatra Festiva. 
#Gaijatra #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications",112,25,4
"Thursday, August 31, 2023 at 8:00 AM",0,"Celebrate the Bond of Love and Connection on this auspicious occasion of Janaai Purnima and Rakshabandhan. 
#JanaaiPurnima #Rakhi #CelebrateConnection #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications",169,8,9
"Wednesday, August 30, 2023 at 1:23 PM",0,"Join us for our nation's cricket celebration! Experience the excitement of the Asia Cup at one of our thrilling FREE public screenings in 15 exciting locations. 
 Join us in embracing the spirit of togetherness as we support Nepal. Make sure you're there to experience the exciting experience that awaits!
 #AsiaCup2023 #TogetherForNepal #ExcitingScreenings #CAN #CheerForNepal #WorldLink #livewithworldlink",634,99,33
"Tuesday, August 29, 2023 at 6:00 PM",0,"Get Ready for Thrills! Nepal vs. Pakistan - The first match of the Asia Cup 2023 and Nepal's debut in the tournament. Let the cricket fever begin! 
. Comment with the correct answer and stand a chance to win fantastic Gifts, Vouchers, Tickets, and more!!! 
How many sixes will Nepal score in tomorrow's match?
#ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications #AsiaCup2023 #cricket",709,386,14
"Sunday, August 27, 2023 at 5:40 PM",0,"Online Safety: Enlightening session on online risk and safety behaviors at Chhorepatan Secondary School, Pokhara ward no. 17, through our WIA (WorldLink Internet Academy) and CSR initiative. Empowering a safer digital future! 
 #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications #WIA #CSR",154,33,2
"Saturday, August 26, 2023 at 6:00 PM",0,"Best of Luck to Team Nepal in the Asia Cup! May your determination shine in the exciting clashes ahead, including the much-anticipated matches between Pakistan and India.
 #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications #Cricket #AsiaCup",800,43,21
"Friday, August 25, 2023 at 12:40 PM",0,"Educating Students: At Kalika Manavgyan Secondary School in Butwal, the WIA (WorldLink Internet Academy) school program touched lives as we shared insights on online risk and safety behavior.
#WIA #worldlinkinternetacademy #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications #CSR",284,129,2
0,0,0,0,WorldLink Communications · Original audio,0
"Wednesday, August 23, 2023 at 6:00 PM",0,"Sandeep Lamichhane has reached 196 total international wickets. 
Will he cross the 200 mark in the upcoming Asia Cup??
#ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications #FactCheck #AsiaCup #Cricket",969,40,3
"Tuesday, August 22, 2023 at 5:28 PM",0,"Get a total of 60 days of internet and NETTV with a referral code or voucher code. Check out the steps on our blog for the extra benefits you can get by using the Refer Code while paying directly from the WorldLink website.
#ChitoBhanekaiWorldLink #WorldLinkCommunications #ReferOffer #ReferCode",124,38,2
"Monday, August 21, 2023 at 9:15 AM",0,"नाग पंचमीको शुभकामना ! नाग देवताले सबैलाई रक्षा गरुन।
#nagapanchami  #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications",363,21,10
"Saturday, August 19, 2023 at 6:13 PM",0,"FRAGGED BECAUSE OF LAG? Switch to the PUBG Mobile Gamer Pack and enjoy a smooth browsing experience, seamless play, the lowest latency, and dedicated support. Grab it now at just Rs. 1,150 per month* and receive an exclusive Rs.1000 cashback via Khalti when you make a direct payment from the WorldLink website.
Get the Exclusive Cashback: https://bit.ly/45454Zc
#PUBGMOBILE #WorldLink #BeInvincible",119,111,1
"Friday, August 18, 2023 at 6:53 PM",0,"We would like to express our sincere thanks to all of our loyal customers who used the voucher code (refer code) to make purchases directly through the WorldLink website. If you haven't yet taken advantage of this chance, Refer right now to enjoy 30-30 days of FREE internet and a quick buying experience and save the wait for installation calls. ""Your Fast Connection Is Waiting!""
Learn More: https://bit.ly/43C6lFO 
#WorldLink #ReferOffer #vouchercode #INTERNET #GoDirect #ChitoBhanekaiWorldLink #WorldLinkCommunications #worldlinkinternet",78,17,0
"Thursday, August 17, 2023 at 6:32 PM",0,"The 3rd Youth Entrepreneurship Summit Joined hands With WorldLink for their upcoming event taking place on September 14. The summit aims to address the challenges posed by COVID-19 and recent economic difficulties, prioritize sectors for investment and startup development, attract young minds to the field of startups, provide guidance on investment, discuss government policies, taxation, startup programs, storytelling, group discussions, and the status of global markets.
तेस्रो युवा उद्यमशीलता शिखर सम्मेलन सेप्टेम्बर १४ मा हुन लागेको आगामी कार्यक्रमको लागि WorldLink सँग हात मिलाएको छ। शिखर सम्मेलनको उद्देश्य कोभिड-१९ र हालैका आर्थिक कठिनाइहरूलाई सम्बोधन गर्ने,लगानी र स्टार्टअप विकासका लागि क्षेत्रहरूलाई प्राथमिकता दिने,युवा वर्गलाई यस क्षेत्रमा आकर्षित गर्ने लक्ष्य राखिएको छ। यस कार्यक्रममा  विशेष गरि  स्टार्टअपहरूको लगानीमा मार्गदर्शन प्रदान गर्न,सरकारी नीतिहरू,कर,स्टार्टअप कार्यक्रमहरू,कथा कथन,समूह छलफल र विश्वव्यापी बजारहरूको स्थितिबारे छलफल गरिनेछ |
Read More: https://bit.ly/3OHvNnS 
#YouthSummitInnovation2023 #NepalStartupSummit #WorldLinkPartnership #YouthEmpowermentEvent #WorldLink",183,19,4
0,0,0,0,WorldLink Communications · Original audio,0
0,0,0,0,WorldLink Communications · Original audio,0
"Monday, August 14, 2023 at 6:00 PM",0,"When you have this pack, we've got your back! WorldLink's PUBG Mobile Gamer Pack will turn 'Why am I lagging?' into 'Why am I winning so much?' So, what's the lag? Not even in our dictionary! 
Upgrade today: https://bit.ly/45454Zc
#Upgradenow #BeInvincible #worldlinkforgamers #PUBGMobile #PUBGMNEPAL",83,16,3
"Sunday, August 13, 2023 at 6:01 PM",0,"Join Nepal's 1.1 M active PUBG MOBILE gamers in the battle royale excitement! Elevate your experience with WorldLink Gamer's Package today,
Buy Now: https://bit.ly/45454Zc 
 #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications #gamerspack #PUBG #PUBGMOBILE",173,27,8
0,0,0,0,WorldLink Communications · Original audio,0
"Friday, August 11, 2023 at 3:24 PM",0,"WorldLink Communications hosted a program of 13 under-secretary officials holding positions equivalent to under-secretaries as part of their field-based learning initiative. These officials are currently enrolled in the Advanced Course on Management and Development at the Nepal Administrative Staff College. The session was facilitated by our CEO, Mr. Keshav Nepal. We extend our sincere appreciation to the Nepal Administrative Staff College for choosing WorldLink Communications for this opportunity.
#EmpoweringOfficials #leadershipdevelopment #NepalAdministrativeStaffCollege #WorldLink #ceoleadership",313,6,6
"Thursday, August 10, 2023 at 6:00 PM",0,"Why settle for less when you can have the best? Our Gamer Pack offers WiFi 5, reduced latency, and reliable connectivity. Upgrade now and elevate your gaming experience! 
#UpgradeToWin #BeInvincible"" #worldlinkforgamers #PUBGMobile #PUBGMNEPAL",87,13,7
"Wednesday, August 9, 2023 at 5:42 PM",0,0,188,12,2
0,0,0,0,WorldLink Communications · Original audio,0
"Monday, August 7, 2023 at 7:30 PM",0,"Missing out on smooth gameplay? Upgrade to our Gamer Pack and enjoy the benefits of WiFi 5, reduced latency, and reliable connectivity. Don't wait, upgrade now and play like a pro! gameplay with the support of #PUBGMOBILE and #WorldLink. 
Get your gamers pack today: https://bit.ly/45454Zc 
#BeInvincible #worldlinkforgamers",163,37,6
"Monday, August 7, 2023 at 5:14 PM",0,"Connecting more than just wires - we're connecting hearts in Koshi Pradesh! With over 100,000 happy customers, we're not only providing connectivity but also making a difference in lives and communities. Proudly supporting Purwanchal Anath Ashram to educate orphaned children and ensure the well-being of the elderly. Together, we're building a brighter future. 
#EnrichingLives #CommunityImpact #WorldLink #Region1 #GoBeyond #WorldLinkCommunications #educate #Biratnagar",536,65,28
"Sunday, August 6, 2023 at 8:59 PM",0,0,41,PUBG MOBILE · Original audio,4
"Sunday, August 6, 2023 at 2:06 PM",0,"Celebrate Friendship Day by teaming up with your PUBG Mobile squad in Arena mode without any LAGs!
Tag your squad in the comment and #BeInvincible with #PUBGMOBILE x #WorldLink
#HappyFriendshipDay #PUBGMOBILE #PUBGMNepal #worldlinkforgamers",111,5,8
"Sunday, August 6, 2023 at 7:00 AM",0,"Give the Best Gift of Connection! Celebrate true friendship by referring your friends today and sharing the WorldLink experience. Strengthen your bonds with seamless connectivity and unforgettable moments together.
Gift Today: https://worldlink.com.np/refer-offer/
#HappyFriendshipDay #ReferOffer #WorldLink #ChitoBhanekaiWorldLink",57,2,0
"Friday, August 4, 2023 at 6:08 PM",0,"Dominate the PUBG Mobile battlegrounds with uninterrupted action, lightning-fast speeds, and round-the-clock dedicated support.
Subscribe now for just Rs. 1,150. *Terms and Conditions Apply.
Buy Now: https://bit.ly/45454Zc 
#PUBGMOBILE #WorldLink #BeInvincible #worldlinkforgamers",290,57,23
"Thursday, August 3, 2023 at 8:35 PM",0,"The moment has arrived: the #pubgmobile x WorldLink Gamers Pack is now live! Experience smoother gameplay with incredibly low latency and fast internet speed, supported by our 24/7 dedicated customer support team. Buy the PUBGM Gamer Packs with a legit internet pack dedicated to PUBG Mobile Gamers and Say goodbye to LAGs.
Buy Now: https://bit.ly/45454Zc
#PUBGMOBILE #WorldLink #BeInvincible #worldlinkforgamers",39K,649,515
"Thursday, August 3, 2023 at 7:59 PM",0,Live Launch: Introducing a legit Internet Pack for Dedicated PUBG Mobile Gamers!,811,182,0
"Tuesday, August 1, 2023 at 9:09 AM",0,"With the vision of ""Connecting Everyone, Anywhere, All the Time, we have reached new heights at Tenji Upper Dolpa at 5200m. Our team is working continuously to deliver the internet connection challenge at extreme altitudes! Proud to connect the unconnected!
सबैलाई, जुनसुकै ठाउँमा ,सधैं जोड्ने ""भिजनका साथ हामीले  माथिल्लो डोल्पाको  तेन्जीमा ५२०० मिटरको उचाइमा इन्टरनेट पुराए सँगै हामी एक नयाँ उचाइमा पुगेको छौ । हाम्रो टोलीले उच्च हिमाली भेगहरूमा इन्टरनेट पुराउन निरन्तर काम गरिरहेको छ। इन्टरनेटको पहुँच नपुगेका ठाउँहरूमा पहुँच पुराउनमा हामी गर्व गर्दछौँ। 
#WorldLink #ChitoBhanekaiWorldLink #connectingeveryoneanywhere #highaltitudeconnectivity  #tenji #5200m #upperdolpa",549,26,32
"Monday, July 31, 2023 at 6:00 PM",0,"In the world of gaming, an attentive mind with a quick reaction is the key to victory. Stay tuned for an announcement that will help you stay on top of your game. #PUBGMOBILE #WorldLink #BeInvincible #worldlinkforgamers",11K,227,84
"Monday, July 31, 2023 at 7:00 AM",0,"खीर खाने दिनको शुभकामना 2080 
#kheer #kheerkhanedin #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications",325,23,14
"Friday, July 28, 2023 at 6:48 PM",0,"In the world of gaming, friends are the ultimate lifeline. Stay tuned for an announcement that will help you keep your friendship uninterrupted. PUBG MOBILE
#PUBGMOBILE #WorldLink #BeInvincible #worldlinkforgamers",8K,246,97
"Thursday, July 27, 2023 at 7:30 PM",0,"Get ready, PUBG Mobile gamers! A groundbreaking collaboration between #WorldLink and #PUBGMobile is about to revolutionize your gaming experience. Are you ready to conquer the battlefield and #BeInvincible? #staytuned #PUBGWorldlinkCollab #worldlinkforgamers",109,12,23
"Thursday, July 27, 2023 at 4:39 PM",0,"Get 5% Cashback (upto Rs.100) from Khalti App !!
 Use Promocode: WORLDLINK100
#Khalti #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications",145,14,1
"Wednesday, July 26, 2023 at 6:31 PM",0,Something incredible is loading! Stay tuned for an announcement that will leave you in awe. Guess what's loading? #pubgmobile #worldlink #beinvincible #gaming #FastInternet #worldlinkforgamers,172,32,3
"Monday, July 24, 2023 at 7:33 PM",0,"Buy a 200Mbps 12-month package directly from WorldLink's website for only Rs.12600* and receive an additional Rs.1000 Cashback when purchasing with Khalti . Offer only beneficial for purchases made directly through the WorldLink website. 
Buy now at bit.ly/3DknPeX
#WorldLink #ChitoBhanekaiWorldLink #WorldLinkCommunications #INTERNET #FastInternet #24HourInstall
#godirect",201,97,4
"Sunday, July 23, 2023 at 2:41 PM",0,We're ecstatic to announce the winner of an iPhone 14 in our WorldLink Communications bill payment. Thank you to everyone who participated - your support and enthusiasm made this journey unforgettable!  #KhaltiWinners #Khalti #WorldLink #ChitoBhanekaiWorldLink #WorldLinkCommunications #worldlinkinternet,264,34,0
"Friday, July 21, 2023 at 7:52 PM",0,"REFERRAL CODE (Voucher Code) IS NOW AVAILABLE for our customers !! While referring a new customer via the WorldLink website, both customers can now get 30–30 days of FREE internet and NETTV instantly. Refer code is valid only while purchasing directly from the WorldLink website. Check out this video for the step-by-step process to implement the Refer code/voucher code.
REFERRAL CODE (Voucher Code) अब हाम्रा ग्राहकहरूको लागि उपलब्ध छ !! WorldLink वेबसाइट मार्फत नयाँ ग्राहकलाई रेफर गर्दा, दुबै ग्राहकहरूले अब 30-30 दिनको नि:शुल्क इन्टरनेट र NETTV तत्कालै पाउनेछ. WorldLink वेबसाइटबाट खरिद गर्दा Refer to नयाँ ग्राहकले प्रयोग गर्न सक्नेछन्। जानकारीको  लागि यो भिडियो हेर्नुहोस्।
#WorldLink #ReferOffer #vouchercode #INTERNET #GoDirect #ChitoBhanekaiWorldLink #WorldLinkCommunications #worldlinkinternet",5.4K,83,28
"Thursday, July 20, 2023 at 7:00 PM",0,"How many of you have booked your tickets? 
If YES, which seat did you choose? 
Catch Oppenheimer in cinemas from 21st July. 
#Oppenheimer #ChristopherNolan #WorldLink",70,6,1
"Thursday, July 20, 2023 at 9:26 AM",0,"Instant Connectivity, Guaranteed Cashback ! Get a new WorldLink 3 Months standard package just at Rs.3300 with Rs.500 Cashback and on the purchase of 1 year get Rs.1000 Cashback while paying via Khalti. The offer is only valid for direct purchases from the WorldLink website. Click the link https://bit.ly/3DknPeX to buy an internet package directly from the WorldLink website.
तुरुन्तै जडान, पक्का क्यासब्याक !!३ महिनाको इन्टरनेट प्याकेज मात्र Rs.3300 मा साथै Rs.500 को क्यासब्याक र 1 वर्षको प्याकेजको खरिदमा Rs.1000 को क्यासब्याक पाउनुहोस, Offer WorldLink को  वेबसाइटबाट प्याकेज खरिदमा गर्दा Khalti मार्फत भुक्तानीमा मात्र मान्य हुनेछ। यहाँ क्लिक गर्नुहोस्। https://bit.ly/3DknPeX
#WorldLink #ChitoBhanekaiWorldLink #WorldLinkCommunications #INTERNET #FastInternet #24HourInstall
#GoDirect",159,80,3
"Wednesday, July 19, 2023 at 4:11 PM",0,"Congratulations Team Nepal on the Win
ACC Men’s Emerging Teams Asia Cup Vs UAE
Amazing performance. Hats-off! 
#cricket #TeamNepal #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications",483,17,3
0,0,0,0,WorldLink Communications · Original audio,0
"Tuesday, July 18, 2023 at 7:00 PM",0,"Who do you think has the best batting partnership, from Team Nepal? 
Share your answers in the comment below and get a chance to get gift hampers.
#accmensemergingcup2023 #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications #cricket",114,38,1
"Monday, July 17, 2023 at 7:30 PM",0,"WorldLink proudly partners with the SEE Cup Inter-School Football Tournament, happening at Don Bosco School in Biratnagar. With 45 schools participating from Morang and Sunsari districts. 
With the vision to connect everyone, anywhere, all the time, we are not just providing connectivity for live streaming. You can also enjoy Wi-Fi Express at the tournament.
 #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications #StayConnected",181,5,1
"Monday, July 17, 2023 at 4:37 PM",0,"#Notice
Khalti बाट WorldLink को भुक्तानी गरि प्राप्त हुने VAT Refund सुविधा अर्को सुचना प्रकाशित नभएसम्म उपलब्ध नहुने जानकारी दिन चाहन्छौँ।
यसबाट ग्राहक वर्गमा पर्न जाने असुविधा प्रति हामी क्षमाप्रार्थी छौं।",174,16,0
"Sunday, July 16, 2023 at 6:00 PM",0,"Are you excited for tomorrow's match? 
India vs Nepal
Share your answers in the comment section below and get a chance to receive gift hampers. 
#accmensemergingcup #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications",161,76,6
0,0,0,0,WorldLink Communications · Original audio,0
"Friday, July 14, 2023 at 7:07 PM",0,"Hurry, Limited Time Offer! Don't miss the chance to purchase your internet pack directly from the WorldLink website and pay conveniently through Khalti and be eligible. 
Buy Now: https://bit.ly/3NMIFIK
#Khalti #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications",99,8,1
"Friday, July 14, 2023 at 7:00 AM",0,"Let's celebrate his inspiring legacy and the power of words that continue to resonate with generations. Happy Bhanu Jayanti 2080. 
 #BhanuJayanti  #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications",198,13,3
"Thursday, July 13, 2023 at 7:02 PM",0,"Get Ready  In the ACC Men's Emerging Teams Asia Cup, Team Nepal is gearing up for an action-packed match tomorrow. How many sixes do you think they will hit? 
Share your answers and get a chance to receive goodies.
#accmensemergingteamsasiacup2023 #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications",461,250,9
"Wednesday, July 12, 2023 at 6:01 PM",0,"Discover the fascinating world of ""Internet of Things"" (IoT) and its impact on our lives. 
#FactCheck #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications",57,6,1
"Tuesday, July 11, 2023 at 7:00 PM",0,"Purchase your internet directly from the WorldLink website and enjoy Rs. 1000 off on a 12-month package or Rs. 500 off on a 3-month package. Experience seamless browsing, streaming, and gaming while enjoying exclusive discounts.
Get the best: https://bit.ly/3NMIFIK
#ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications",256,28,2
"Tuesday, July 11, 2023 at 1:53 PM",0,"WorldLink joined hands with District Police Office Panchthar, equipping them with 5000 informative leaflets on topics like drug awareness, cybercrime, and social crime. Together, we are committed to building a safer community.
वर्ल्डलिङ्कले जिल्ला प्रहरी कार्यालय पाँचथरसँग समर्थित गर्दै  लागुऔषध सचेतना, साइबर अपराध, सामाजिक अपराध जस्ता विषयमा ५ हजार जानकारीमूलक पर्चाहरू उपलब्ध गराएको छ ।सँगै हामी समुदाय निर्माण गर्न प्रतिबद्ध छौं।
#WorldLink #PartnersInSafety #empoweringawareness #WorldLinkCommunications #TogetherWeCan",358,11,14
